model,tool,benchmark,parameter,score,weight,weighted_score,note
claude-opus-4-8,openspec,worker-video-feature,Autonomous capacity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Runtime integration & ergonomics,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Code-review / hand-off review surface,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Learning curve / time-to-productivity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.200,"This cohort drives OpenSpec through Cline-as-extension (tool_version = Cline), which exposes the in-flight chat alongside the OpenSpec change directory; the operator can refine the change in the same chat without restarting. Anchor 4. The 4.7 cohort drove OpenSpec headlessly (anchor 2); the lift is a driver change captured in metadata.json, not a model change. v1 Opus 4.7 on the same cell scored 2."
claude-opus-4-8,openspec,github-repository-bootstrap,Autonomous capacity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Runtime integration & ergonomics,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Code-review / hand-off review surface,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Learning curve / time-to-productivity,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Human-in-the-loop validation experience,4,5,0.200,This cohort drives the Ralph loop through Cline-as-extension; the operator can refine RALPH_TASK.md / PLAN.md in the same chat without restarting. Anchor 4. The 4.7 cohort drove Ralph headlessly (anchor 2); the lift is a driver change captured in metadata.json. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,ralph,worker-video-feature,Autonomous capacity,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Runtime integration & ergonomics,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Code-review / hand-off review surface,4,5,0.2,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Learning curve / time-to-productivity,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.200,This cohort drives the Ralph loop through Cline-as-extension; the operator can refine RALPH_TASK.md / PLAN.md in the same chat without restarting. Anchor 4. The 4.7 cohort drove Ralph headlessly (anchor 2); the lift is a driver change captured in metadata.json. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,ralph,github-repository-bootstrap,Autonomous capacity,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Runtime integration & ergonomics,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Code-review / hand-off review surface,4,5,0.2,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Requirement traceability,2,10.5,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Task granularity,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Test-plan coverage,5,10.5,0.525,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Code-reference accuracy,4,7,0.280,"MEASURED (Opus 4.8): opencode/planning/OPENCODE_PLAN.md proactively flags the hyphen-vs-underscore name drift (Decisions #1-#2: 'Repo name uses an underscore ... It diverges from the sibling convention (agent-skillzz uses a hyphen)') and cites the sibling at blob SHA 28d245ede... However test assertion T1.8 hardcodes 'team_id = local.teams[ lines equals 47 (same as template)', whereas the study-verified sibling has 53 entries -- so the team_access count error that sat on the cursor leg in v1 Opus 4.7 MOVED to the opencode leg under Opus 4.8. Down from the v1 opencode anchor (5) to 4 for the stale count claim; still mostly correct + verified module pin + drift catch. Anchor 4: 'mostly correct but with stale signatures.'"
claude-opus-4-8,opencode,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Reproducibility (artifact persistence),4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=98 (1.6 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,opencode,github-repository-bootstrap,Token / API cost,2,3.5,0.070,"Opus 4.8 planning leg cost = $4.59 (provider-reported via opencode session export `cost` field (token_estimate=1199028, billable incl. cache I/O)). Anchor 2: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 4."
claude-opus-4-8,opencode,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Learning curve / time-to-productivity,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Human-in-the-loop validation experience,2,5,0.100,"opencode is driven as a headless one-shot `opencode run` invocation under Opus 4.8 (tool_version 1.15.13), same as the 4.7 cohort. The TUI would lift this, but the study uses headless mode for reproducibility. Anchor 2: 'Plan can be edited but the tool must be re-invoked over the edited file.' v1 Opus 4.7 on the same cell scored 2."
claude-opus-4-8,opencode,github-repository-bootstrap,Autonomous capacity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Runtime integration & ergonomics,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,github-repository-bootstrap,Code-review / hand-off review surface,4,5,0.2,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Requirement traceability,4,10.5,0.42,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Task granularity,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Test-plan coverage,5,10.5,0.525,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Code-reference accuracy,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,MCP / external-source integration,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Reproducibility (artifact persistence),4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=293 (4.9 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,opencode,worker-video-feature,Token / API cost,1,3.5,0.035,"Opus 4.8 planning leg cost = $12.07 (provider-reported via opencode session export `cost` field (token_estimate=6870261, billable incl. cache I/O)). Anchor 1: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 2."
claude-opus-4-8,opencode,worker-video-feature,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Learning curve / time-to-productivity,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Human-in-the-loop validation experience,2,5,0.100,"opencode is driven as a headless one-shot `opencode run` invocation under Opus 4.8 (tool_version 1.15.13), same as the 4.7 cohort. The TUI would lift this, but the study uses headless mode for reproducibility. Anchor 2: 'Plan can be edited but the tool must be re-invoked over the edited file.' v1 Opus 4.7 on the same cell scored 2."
claude-opus-4-8,opencode,worker-video-feature,Autonomous capacity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Runtime integration & ergonomics,3,5,0.15,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,opencode,worker-video-feature,Code-review / hand-off review surface,4,5,0.2,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/opencode/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,personal-blog-scaffold,Artifact completeness,2,7,0.14,Single sectioned plan.md (YAML todos + ## body sections); not split into proposal/design/specs/tasks. Anchor 2.
claude-opus-4-8,cursor,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,"Todos are free-text functional descriptions (i18n, content model, SEO); no stable REQ-IDs or Covers: labels. Anchor 2."
claude-opus-4-8,cursor,personal-blog-scaffold,Task granularity,3,7,0.21,"8 bundled todos, several mega (e.g. layouts-components bundles BaseLayout/ArticleLayout/header/footer/nav/switcher/SeoHead/Callout/Figure); ~handful of medium chunks. Anchor 3."
claude-opus-4-8,cursor,personal-blog-scaffold,Test-plan coverage,3,10.5,0.315,Tests concentrated in one checks-ci todo plus a global ## Quality/checks build-output assertion list; not a per-task test plan. Anchor 3.
claude-opus-4-8,cursor,personal-blog-scaffold,Code-reference accuracy,4,7,0.28,"Complete, internally consistent greenfield file map ([locale]/rss.xml.ts, root-redirect index.astro, switcher localizePath all cohere); one ambiguity (getArticles in i18n/utils.ts 'or' lib/articles.ts). Anchor 4."
claude-opus-4-8,cursor,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,"Greenfield bench: GitHub MCP read of the pinned empty repo (4 calls); grounds on the greenfield state but no rich external source (no Jira) to integrate. Anchor 3 (GitHub-MCP-only, as on the simple bench)."
claude-opus-4-8,cursor,personal-blog-scaffold,Reproducibility (artifact persistence),3,7,0.21,plan.md is a native on-disk artefact but not a versioned change dir with a strict CLI validator. Anchor 3.
claude-opus-4-8,cursor,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 181s (3.0 min) < 10 min. Anchor 5.
claude-opus-4-8,cursor,personal-blog-scaffold,Token / API cost,3,3.5,0.105,"Planning-leg cost $1.39 (73.2k tok x $19/M, rate-card). Anchor 3 ($1-2)."
claude-opus-4-8,cursor,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,Plan Mode -> Agent Mode single-action hand-off. Anchor 5.
claude-opus-4-8,cursor,personal-blog-scaffold,Tool licensing & accessibility,2,5,0.1,Cursor MCP picker requires Pro ($20/mo); closed-source freemium. Anchor 2.
claude-opus-4-8,cursor,personal-blog-scaffold,Learning curve / time-to-productivity,5,5,0.25,Zero install; chat is the primary surface and the tool drives the format. Anchor 5.
claude-opus-4-8,cursor,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,Plan-card hand-off + in-thread refinement under Cursor's chat; no clarifying-question card surfaced (both models). Anchor 4.
claude-opus-4-8,cursor,personal-blog-scaffold,Autonomous capacity,1,5,0.05,No headless mode; Agent Mode requires an attended chat panel. Anchor 1.
claude-opus-4-8,cursor,personal-blog-scaffold,Runtime integration & ergonomics,5,5,0.25,Native to the IDE; integrated MCP picker; one-click model selection. Anchor 5.
claude-opus-4-8,cursor,personal-blog-scaffold,Code-review / hand-off review surface,2,5,0.1,Plan persists only at the operator-specific ~/.cursor/plans path; no committed structured artefact for async review. Anchor 2.
claude-opus-4-8,openspec,personal-blog-scaffold,Artifact completeness,5,7,0.35,Full 4-artefact OpenSpec change: proposal.md + design.md + tasks.md + specs/** (5 capability specs). Anchor 5.
claude-opus-4-8,openspec,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,Specs carry named ### Requirement: + #### Scenario: blocks but tasks.md items carry no explicit Covers:/REQ-ID back-links; task-to-requirement mapping is implicit/topical. Anchor 2.
claude-opus-4-8,openspec,personal-blog-scaffold,Task granularity,4,7,0.28,tasks.md: 37 PR-sized numbered subtasks across 7 sections. Anchor 4.
claude-opus-4-8,openspec,personal-blog-scaffold,Test-plan coverage,5,10.5,0.525,40 #### Scenario: WHEN/THEN acceptance blocks across 5 capability specs + a §7 verification task block; explicitly covers x-default and en/es UI-dictionary translation. Anchor 5.
claude-opus-4-8,openspec,personal-blog-scaffold,Code-reference accuracy,4,7,0.28,"Internally consistent greenfield file map; /blog/ URL segment, blog collection, and /en|es/rss.xml paths cohere across proposal/design/specs/tasks. Anchor 4."
claude-opus-4-8,openspec,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo; no Jira/rich external source on this bench. Anchor 3.
claude-opus-4-8,openspec,personal-blog-scaffold,Reproducibility (artifact persistence),5,7,0.35,Versioned openspec change directory in git with openspec validate --strict. Anchor 5.
claude-opus-4-8,openspec,personal-blog-scaffold,Latency to ready-to-implement,3,3.5,0.105,Planning-leg wall 1166s (19.4 min) -- the OpenSpec/Opus planning-latency outlier seen across benches. Anchor 3 (15-30 min).
claude-opus-4-8,openspec,personal-blog-scaffold,Token / API cost,4,3.5,0.14,"Planning-leg cost $0.96 (50.3k tok x $19/M, rate-card). Anchor 4 ($0.50-1)."
claude-opus-4-8,openspec,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,/opsx-apply single-command hand-off. Anchor 5.
claude-opus-4-8,openspec,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Open-source CLI; no licensing layer; BYOK via the Cline runtime. Anchor 5.
claude-opus-4-8,openspec,personal-blog-scaffold,Learning curve / time-to-productivity,2,5,0.1,CLI install + openspec init + 4-artefact mental model + validate --strict semantics. Anchor 2.
claude-opus-4-8,openspec,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,"Driven via Cline-as-extension; the operator can refine the change directory in the same chat without restarting (driver property, identical across models, matching this tool's simple/complex cells). Anchor 4."
claude-opus-4-8,openspec,personal-blog-scaffold,Autonomous capacity,2,5,0.1,Headless end-to-end run drives the validator to convergence but no per-iteration commit / budget intelligence. Anchor 2.
claude-opus-4-8,openspec,personal-blog-scaffold,Runtime integration & ergonomics,2,5,0.1,CLI scaffold paired with Cline-as-extension for the chat surface. Anchor 2.
claude-opus-4-8,openspec,personal-blog-scaffold,Code-review / hand-off review surface,5,5,0.25,Multiple structured files in git + a strict CLI validator for mechanical async audit. Anchor 5.
claude-opus-4-8,ralph,personal-blog-scaffold,Artifact completeness,2,7,0.14,Single comprehensive PLAN.md (proposal/design/capability-matrix/tasks/tests as ## sections) + a RALPH_TASK.md runner pointer; not split into separate proposal/design/specs/tasks files. Anchor 2.
claude-opus-4-8,ralph,personal-blog-scaffold,Requirement traceability,4,10.5,0.42,"PLAN.md §2 builds a C1-C26 capability matrix; every task carries a Caps: C# line and every TEST-# cites the caps it covers ('all 26 capabilities covered, no gap') -- stable IDs resolving to the matrix. Anchor 4."
claude-opus-4-8,ralph,personal-blog-scaffold,Task granularity,4,7,0.28,"15 numbered PR-sized tasks (T1-T15), each with Deliverable / Acceptance / Caps. Anchor 4."
claude-opus-4-8,ralph,personal-blog-scaffold,Test-plan coverage,5,10.5,0.525,"§5 Test/Verification plan with TEST-1..12; each task's Acceptance cites specific TEST-#, plus a §5.1 i18n test summary and dedicated harness/suite tasks (T13/T14) -- per-task test linkage. Anchor 5."
claude-opus-4-8,ralph,personal-blog-scaffold,Code-reference accuracy,5,7,0.35,"Detailed §3.1 file tree fully consistent with the task list and capability matrix (hello-world sample, [locale]/rss.xml.ts, articles/index present). Anchor 5."
claude-opus-4-8,ralph,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo (baseline verified: .gitignore + README only); no rich external source on this bench. Anchor 3.
claude-opus-4-8,ralph,personal-blog-scaffold,Reproducibility (artifact persistence),4,7,0.28,PLAN.md is on disk and gits cleanly but has no strict CLI validator. Anchor 4.
claude-opus-4-8,ralph,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 507s (8.4 min) < 10 min. Anchor 5.
claude-opus-4-8,ralph,personal-blog-scaffold,Token / API cost,3,3.5,0.105,"Planning-leg cost $1.02 (53.7k tok x $19/M, rate-card). Anchor 3 ($1-2)."
claude-opus-4-8,ralph,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,Ralph loop consumes RALPH_TASK.md / PLAN.md directly; single-command hand-off. Anchor 5.
claude-opus-4-8,ralph,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Open-source loop driver; no licensing layer; BYOK via the Cline runtime. Anchor 5.
claude-opus-4-8,ralph,personal-blog-scaffold,Learning curve / time-to-productivity,3,5,0.15,RALPH_TASK.md authoring + loop-iteration mental model. Anchor 3.
