model,tool,benchmark,repeat,parameter,score,weight,weighted_score,note
claude-opus-4-8,ralph,worker-video-feature,r1,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r1,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Requirement traceability,3,10.5,0.315,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Code-reference accuracy,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,MCP / external-source integration,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Latency to ready-to-implement,3,3.5,0.105,MECHANICAL: planning wall 1013s (16.9 min) -> anchor 3 (measured started_at->ended_at).
claude-opus-4-8,ralph,worker-video-feature,r2,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.205 (63442 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,ralph,worker-video-feature,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r2,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Requirement traceability,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Test-plan coverage,5,10.5,0.525,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Code-reference accuracy,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 543s (9.1 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.020 (53696 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r1,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Requirement traceability,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Test-plan coverage,5,10.5,0.525,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Code-reference accuracy,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 467s (7.8 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Token / API cost,4,3.5,0.14,MECHANICAL: planning cost $0.940 (49462 tok x $19/M rate-card) -> anchor 4.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,personal-blog-scaffold,r2,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
