model,tool,benchmark,parameter,score,weight,weighted_score,note
gpt-5-5,opencode,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Learning curve / time-to-productivity,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Human-in-the-loop validation experience,2,5,0.10,"opencode is driven as a headless one-shot `opencode run` invocation under both Opus and GPT-5-5. The TUI mode would expose in-thread refinement, but the study uses headless mode for reproducibility. Score stays at the Opus anchor 2: 'Plan can be edited but the tool must be re-invoked over the edited file.' Opus on the same cell scored 2."
gpt-5-5,opencode,github-repository-bootstrap,Autonomous capacity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Runtime integration & ergonomics,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Code-review / hand-off review surface,4,5,0.2,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Requirement traceability,4,10.5,0.42,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Task granularity,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Test-plan coverage,5,10.5,0.525,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Code-reference accuracy,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,MCP / external-source integration,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Reproducibility (artifact persistence),4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=188 (3.1 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,opencode,worker-video-feature,Token / API cost,3,3.5,0.10,GPT-5-5 planning leg cost = $1.70 (provider-reported via opencode session export (method=rate-sheet (opencode_run.sh backfill; provider did not surface USD))). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 2.
gpt-5-5,opencode,worker-video-feature,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Learning curve / time-to-productivity,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Human-in-the-loop validation experience,2,5,0.10,"opencode is driven as a headless one-shot `opencode run` invocation under both Opus and GPT-5-5. The TUI mode would expose in-thread refinement, but the study uses headless mode for reproducibility. Score stays at the Opus anchor 2: 'Plan can be edited but the tool must be re-invoked over the edited file.' Opus on the same cell scored 2."
gpt-5-5,opencode,worker-video-feature,Autonomous capacity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Runtime integration & ergonomics,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,worker-video-feature,Code-review / hand-off review surface,4,5,0.2,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,personal-blog-scaffold,Artifact completeness,2,7,0.14,Single sectioned plan.md (YAML todos + ## body sections); not split into proposal/design/specs/tasks. Anchor 2.
gpt-5-5,cursor,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,"Todos are free-text functional descriptions (i18n, content model, SEO); no stable REQ-IDs or Covers: labels. Anchor 2."
gpt-5-5,cursor,personal-blog-scaffold,Task granularity,3,7,0.21,"5 bundled todos, broader than PR-sized (astro-foundation, localized-content each span many files). Anchor 3."
gpt-5-5,cursor,personal-blog-scaffold,Test-plan coverage,3,10.5,0.315,Tests concentrated in one checks-ci todo plus a global ## Quality/checks build-output assertion list; not a per-task test plan. Anchor 3.
gpt-5-5,cursor,personal-blog-scaffold,Code-reference accuracy,3,7,0.21,"Internally consistent but with map gaps: no file path for the root redirect, no articles index page despite an Articles nav, tsconfig/README only in commit-plan text. Anchor 3."
gpt-5-5,cursor,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,Greenfield bench: GitHub MCP read of the pinned empty repo (6 calls incl. get_me + list_commits); grounds correctly but no rich external source to integrate. Anchor 3.
gpt-5-5,cursor,personal-blog-scaffold,Reproducibility (artifact persistence),3,7,0.21,plan.md is a native on-disk artefact but not a versioned change dir with a strict CLI validator. Anchor 3.
gpt-5-5,cursor,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 66s (1.1 min) < 10 min. Anchor 5.
gpt-5-5,cursor,personal-blog-scaffold,Token / API cost,4,3.5,0.14,"Planning-leg cost $0.80 (35.5k tok x $22.5/M, rate-card). Anchor 4 ($0.50-1)."
gpt-5-5,cursor,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,Plan Mode -> Agent Mode single-action hand-off. Anchor 5.
gpt-5-5,cursor,personal-blog-scaffold,Tool licensing & accessibility,2,5,0.1,Cursor MCP picker requires Pro ($20/mo); closed-source freemium. Anchor 2.
gpt-5-5,cursor,personal-blog-scaffold,Learning curve / time-to-productivity,5,5,0.25,Zero install; chat is the primary surface and the tool drives the format. Anchor 5.
gpt-5-5,cursor,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,Plan-card hand-off + in-thread refinement under Cursor's chat; no clarifying-question card surfaced (both models). Anchor 4.
gpt-5-5,cursor,personal-blog-scaffold,Autonomous capacity,1,5,0.05,No headless mode; Agent Mode requires an attended chat panel. Anchor 1.
gpt-5-5,cursor,personal-blog-scaffold,Runtime integration & ergonomics,5,5,0.25,Native to the IDE; integrated MCP picker; one-click model selection. Anchor 5.
gpt-5-5,cursor,personal-blog-scaffold,Code-review / hand-off review surface,2,5,0.1,Plan persists only at the operator-specific ~/.cursor/plans path; no committed structured artefact for async review. Anchor 2.
gpt-5-5,openspec,personal-blog-scaffold,Artifact completeness,5,7,0.35,Full 4-artefact OpenSpec change: proposal.md + design.md + tasks.md + specs/** (1 consolidated capability spec). Anchor 5.
gpt-5-5,openspec,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,Specs carry named ### Requirement: + #### Scenario: blocks but tasks.md items carry no explicit Covers:/REQ-ID back-links; task-to-requirement mapping is implicit/topical. Anchor 2.
gpt-5-5,openspec,personal-blog-scaffold,Task granularity,4,7,0.28,tasks.md: 34 PR-sized numbered subtasks across 7 sections. Anchor 4.
gpt-5-5,openspec,personal-blog-scaffold,Test-plan coverage,4,10.5,0.42,"32 scenario acceptance blocks in one capability spec + §7 validation (fmt/lint/typecheck/build); strong but slightly less granular (no x-default, no UI-dictionary-coverage requirement). Anchor 4."
gpt-5-5,openspec,personal-blog-scaffold,Code-reference accuracy,4,7,0.28,"Internally consistent greenfield file map; /articles/ URL segment and articles collection cohere across artefacts (RSS paths only in the design decision, lower path specificity, no contradictions). Anchor 4."
gpt-5-5,openspec,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo; no Jira/rich external source on this bench. Anchor 3.
gpt-5-5,openspec,personal-blog-scaffold,Reproducibility (artifact persistence),5,7,0.35,Versioned openspec change directory in git with openspec validate --strict. Anchor 5.
gpt-5-5,openspec,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 212s (3.5 min) < 10 min. Anchor 5.
gpt-5-5,openspec,personal-blog-scaffold,Token / API cost,4,3.5,0.14,"Planning-leg cost $0.67 (30.0k tok x $22.5/M, rate-card). Anchor 4 ($0.50-1)."
gpt-5-5,openspec,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,/opsx-apply single-command hand-off. Anchor 5.
gpt-5-5,openspec,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Open-source CLI; no licensing layer; BYOK via the Cline runtime. Anchor 5.
gpt-5-5,openspec,personal-blog-scaffold,Learning curve / time-to-productivity,2,5,0.1,CLI install + openspec init + 4-artefact mental model + validate --strict semantics. Anchor 2.
gpt-5-5,openspec,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,"Cline-as-extension exposes the in-flight chat alongside the change directory; the operator can refine in the same chat without restarting (driver property, identical across models). Anchor 4."
gpt-5-5,openspec,personal-blog-scaffold,Autonomous capacity,2,5,0.1,Headless end-to-end run drives the validator to convergence but no per-iteration commit / budget intelligence. Anchor 2.
gpt-5-5,openspec,personal-blog-scaffold,Runtime integration & ergonomics,2,5,0.1,CLI scaffold paired with Cline-as-extension for the chat surface. Anchor 2.
gpt-5-5,openspec,personal-blog-scaffold,Code-review / hand-off review surface,5,5,0.25,Multiple structured files in git + a strict CLI validator for mechanical async audit. Anchor 5.
gpt-5-5,ralph,personal-blog-scaffold,Artifact completeness,2,7,0.14,Single comprehensive PLAN.md (proposal/design/capability-matrix/tasks/tests as ## sections) + a RALPH_TASK.md runner pointer; not split into separate proposal/design/specs/tasks files. Anchor 2.
gpt-5-5,ralph,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,Free-text '## Required Capabilities Covered' bullet list; the 18 implementation tasks carry no capability IDs. Anchor 2.
gpt-5-5,ralph,personal-blog-scaffold,Task granularity,4,7,0.28,"18 numbered PR-sized tasks, each with Acceptance bullets. Anchor 4."
gpt-5-5,ralph,personal-blog-scaffold,Test-plan coverage,4,10.5,0.42,"Per-task Acceptance bullets on all 18 tasks + a 9-item Explicit i18n Test Plan and a scripts/check-build.mjs validator, but no named per-task TEST-ID linkage. Anchor 4."
gpt-5-5,ralph,personal-blog-scaffold,Code-reference accuracy,4,7,0.28,Structure tree consistent with its own tasks but omits the articles/index page implied by the Articles nav; fewer declared files. Anchor 4.
gpt-5-5,ralph,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo (baseline verified: .gitignore + README only); no rich external source on this bench. Anchor 3.
gpt-5-5,ralph,personal-blog-scaffold,Reproducibility (artifact persistence),4,7,0.28,PLAN.md is on disk and gits cleanly but has no strict CLI validator. Anchor 4.
gpt-5-5,ralph,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 253s (4.2 min) < 10 min. Anchor 5.
gpt-5-5,ralph,personal-blog-scaffold,Token / API cost,4,3.5,0.14,"Planning-leg cost $0.52 (23.1k tok x $22.5/M, rate-card). Anchor 4 ($0.50-1)."
gpt-5-5,ralph,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,Ralph loop consumes RALPH_TASK.md / PLAN.md directly; single-command hand-off. Anchor 5.
gpt-5-5,ralph,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Open-source loop driver; no licensing layer; BYOK via the Cline runtime. Anchor 5.
gpt-5-5,ralph,personal-blog-scaffold,Learning curve / time-to-productivity,3,5,0.15,RALPH_TASK.md authoring + loop-iteration mental model. Anchor 3.
gpt-5-5,ralph,personal-blog-scaffold,Human-in-the-loop validation experience,4,5,0.2,"Cline-as-extension; the operator can refine RALPH_TASK.md / PLAN.md in the same chat without restarting (driver property, identical across models). Anchor 4."
gpt-5-5,ralph,personal-blog-scaffold,Autonomous capacity,5,5,0.25,Headless loop + budget intelligence + per-iteration commit + TASK_GUTTER fallback. Anchor 5.
gpt-5-5,ralph,personal-blog-scaffold,Runtime integration & ergonomics,3,5,0.15,Loop harness with an in-IDE Cline driver. Anchor 3.
gpt-5-5,ralph,personal-blog-scaffold,Code-review / hand-off review surface,4,5,0.2,"PLAN.md committed to git with a readable section convention + TASK_COMPLETE sentinel, but no strict validator. Anchor 4."
gpt-5-5,opencode,personal-blog-scaffold,Artifact completeness,2,7,0.14,"Single OPENCODE_PLAN.md (proposal/design/tasks/test-plan as numbered sections); one file, not a split artefact set. Anchor 2."
gpt-5-5,opencode,personal-blog-scaffold,Requirement traceability,2,10.5,0.21,"Per-task Assertion bullets are behavioural checks, not requirement IDs; greenfield bench has no external ACs to bind to. Anchor 2."
gpt-5-5,opencode,personal-blog-scaffold,Task granularity,5,7,0.35,"26 numbered PR-sized tasks (a few bundle files, e.g. components), each with an Assertion. Anchor 5."
gpt-5-5,opencode,personal-blog-scaffold,Test-plan coverage,5,10.5,0.525,"Per-task Assertion bullet on all 26 tasks + a global §4 (per-task assertions, i18n coverage, final verification commands) naming four tests/*.test.ts files; every task ships a test plan. Anchor 5."
gpt-5-5,opencode,personal-blog-scaffold,Code-reference accuracy,4,7,0.28,[locale] map mostly consistent but with unreconciled ambiguities: a conditional content-config fork (task 12 'if compatible ... or custom loader') and three hreflang surfaces (routes.ts vs BaseLayout vs HreflangLinks). Anchor 4.
gpt-5-5,opencode,personal-blog-scaffold,MCP / external-source integration,3,7,0.21,GitHub-MCP read of the pinned greenfield repo; no rich external source on this bench. Anchor 3.
gpt-5-5,opencode,personal-blog-scaffold,Reproducibility (artifact persistence),4,7,0.28,OPENCODE_PLAN.md gits cleanly but has no strict CLI validator. Anchor 4.
gpt-5-5,opencode,personal-blog-scaffold,Latency to ready-to-implement,5,3.5,0.175,Planning-leg wall 123s (2.1 min) < 10 min. Anchor 5.
gpt-5-5,opencode,personal-blog-scaffold,Token / API cost,3,3.5,0.105,Planning-leg cost $1.09 (rate-sheet backfill of the 438k-tok session). Anchor 3 ($1-2).
gpt-5-5,opencode,personal-blog-scaffold,Hand-off friction to implementation,5,7,0.35,opencode run consumes the plan headlessly; single-command hand-off. Anchor 5.
gpt-5-5,opencode,personal-blog-scaffold,Tool licensing & accessibility,5,5,0.25,Fully open-source single binary; BYOK to any supported provider; no licensing layer. Anchor 5.
gpt-5-5,opencode,personal-blog-scaffold,Learning curve / time-to-productivity,3,5,0.15,Single-binary install + per-bench opencode.json mental model. Anchor 3.
gpt-5-5,opencode,personal-blog-scaffold,Human-in-the-loop validation experience,2,5,0.1,Headless opencode run; revision requires re-invocation; no clarifying-question card (both models). Anchor 2.
gpt-5-5,opencode,personal-blog-scaffold,Autonomous capacity,2,5,0.1,Headless mode exists but no built-in budget intelligence / gutter fallback in this study's config. Anchor 2.
gpt-5-5,opencode,personal-blog-scaffold,Runtime integration & ergonomics,3,5,0.15,"Native single-binary runtime with its own MCP picker, run from a helper script (no in-IDE chat panel). Anchor 3."
gpt-5-5,opencode,personal-blog-scaffold,Code-review / hand-off review surface,4,5,0.2,"OPENCODE_PLAN.md committed to git, readable structure, but no strict validator. Anchor 4."
